Sales Person,Geography,Product,Date,Sales,Boxes
Husein Augar,India,Organic Choco Syrup,14/8/2023,"$19,856 ",326
Gunar Cockshoot,Canada   ,Smooth Silky Salty,14/8/2023,"$7,790 ",410
Husein Augar,New Zealand,Mint Chip Choco,14/8/2023,"$1,256 ",72
Beverie Moffet,New Zealand  ,Smooth Silky Salty,14/8/2023,"$12,773 ",402
Kelci Walkden,India,Eclairs,14/8/2023,"$5,713 ",173
Dennison Crosswaite,Canada  ,70% Dark Bites,14/8/2023,"$9,245 ",452
Roddy Speechley,Canada   ,Almond Choco,14/8/2023,$776 ,205
Jan Morforth,USA,85% Dark Bars,14/8/2023,"$2,819 ",13
Barr Faughny,USA   ,Fruit & Nut Bars,14/8/2023,"$7,821 ",621
Marney O'Breen,USA  ,Baker's Choco Chips,14/8/2023,"$2,318 ",137
Van Tuxwell,UK  ,Spicy Special Slims,14/8/2023,"$11,221 ",164
Barr Faughny,India  ,After Nines,14/8/2023,"$4,849 ",183
Andria Kimpton,USA ,Milk Bars,14/8/2023,"$4,050 ",118
Madelene Upcott,New Zealand  ,Fruit & Nut Bars,14/8/2023,"$6,566 ",773
Mallorie Waber,New Zealand   ,Choco Coated Almonds,14/8/2023,"$4,403 ",398
Gunar Cockshoot,India   ,Spicy Special Slims,14/8/2023,$338 ,86
Madelene Upcott,UK ,Drinking Coco,14/8/2023,"$4,543 ",217
Oby Sorrel,UK   ,Eclairs,14/8/2023,"$6,539 ",40
Madelene Upcott,UK,Organic Choco Syrup,14/8/2023,"$2,572 ",334
Roddy Speechley,Canada  ,Spicy Special Slims,15/8/2023,"$1,006 ",115
Rafaelita Blaksland,USA ,85% Dark Bars,15/8/2023,"$8,483 ",287
Ches Bonnell,UK  ,Spicy Special Slims,15/8/2023,"$1,222 ",177
Kaine Padly,India  ,Drinking Coco,15/8/2023,"$6,941 ",168
Oby Sorrel,Canada,99% Dark & Pure,15/8/2023,"$5,362 ",178
Rafaelita Blaksland,UK  ,Eclairs,15/8/2023,"$4,266 ",467
Barr Faughny,New Zealand,99% Dark & Pure,15/8/2023,"$14,222 ",252
Andria Kimpton,Australia ,Orange Choco,15/8/2023,"$5,902 ",468
Oby Sorrel,Australia,70% Dark Bites,15/8/2023,"$1,676 ",416
Gigi Bohling,India  ,Fruit & Nut Bars,15/8/2023,"$5,884 ",506
Karlen McCaffrey,USA ,Spicy Special Slims,15/8/2023,"$4,685 ",130
Barr Faughny,USA   ,Spicy Special Slims,15/8/2023,"$1,375 ",1
Camilla Castle,New Zealand   ,Choco Coated Almonds,15/8/2023,"$4,084 ",387
Oby Sorrel,Canada ,Baker's Choco Chips,15/8/2023,"$4,212 ",471
Gigi Bohling,UK ,Orange Choco,15/8/2023,"$3,933 ",413
Madelene Upcott,Australia,Raspberry Choco,15/8/2023,"$5,882 ",467
Brien Boise,India ,Orange Choco,15/8/2023,"$7,461 ",64
Andria Kimpton,New Zealand   ,White Choc,15/8/2023,"$2,374 ",381
Kelci Walkden,India  ,After Nines,15/8/2023,"$14,965 ",423
Husein Augar,UK  ,Smooth Silky Salty,15/8/2023,"$1,998 ",376
Dotty Strutley,Canada   ,Organic Choco Syrup,16/8/2023,"$5,978 ",628
Kaine Padly,India ,Raspberry Choco,16/8/2023,$25 ,788
Dennison Crosswaite,UK,Drinking Coco,16/8/2023,"$5,990 ",406
Kaine Padly,USA  ,Smooth Silky Salty,16/8/2023,"$6,854 ",196
Beverie Moffet,New Zealand ,Mint Chip Choco,16/8/2023,"$1,881 ",81
Jan Morforth,UK ,Spicy Special Slims,16/8/2023,"$2,743 ",478
Beverie Moffet,Canada   ,Eclairs,16/8/2023,"$1,994 ",154
Jan Morforth,New Zealand   ,Smooth Silky Salty,16/8/2023,"$4,732 ",486
Karlen McCaffrey,USA   ,Raspberry Choco,16/8/2023,"$7,787 ",270
Dotty Strutley,India ,Raspberry Choco,16/8/2023,$108 ,140
Jehu Rudeforth,Canada  ,Peanut Butter Cubes,16/8/2023,"$12,521 ",40
Mallorie Waber,Australia,85% Dark Bars,16/8/2023,"$8,075 ",527
Van Tuxwell,UK   ,Peanut Butter Cubes,16/8/2023,"$5,963 ",140
Beverie Moffet,India   ,Organic Choco Syrup,16/8/2023,"$7,229 ",250
Jehu Rudeforth,UK   ,Milk Bars,16/8/2023,"$8,615 ",102
Barr Faughny,New Zealand ,Milk Bars,16/8/2023,"$10,845 ",418
Marney O'Breen,UK,Milk Bars,17/8/2023,"$4,876 ",227
Jan Morforth,Canada  ,Organic Choco Syrup,17/8/2023,"$1,375 ",32
Andria Kimpton,India  ,Smooth Silky Salty,17/8/2023,"$7,747 ",447
Roddy Speechley,India ,Baker's Choco Chips,17/8/2023,"$6,696 ",113
Rafaelita Blaksland,Canada  ,Baker's Choco Chips,17/8/2023,"$6,161 ",24
Curtice Advani,USA   ,70% Dark Bites,17/8/2023,"$5,186 ",585
Husein Augar,Australia,85% Dark Bars,17/8/2023,"$4,298 ",208
Madelene Upcott,India   ,Baker's Choco Chips,17/8/2023,"$3,582 ",353
Gigi Bohling,UK ,Spicy Special Slims,17/8/2023,"$8,352 ",184
Camilla Castle,Canada   ,Spicy Special Slims,17/8/2023,"$4,005 ",371
Ches Bonnell,New Zealand   ,Raspberry Choco,17/8/2023,"$4,163 ",872
Gunar Cockshoot,New Zealand   ,70% Dark Bites,17/8/2023,$495 ,364
Oby Sorrel,Canada   ,Mint Chip Choco,17/8/2023,$358 ,303
Rafaelita Blaksland,Canada ,70% Dark Bites,17/8/2023,"$1,010 ",570
Camilla Castle,UK   ,Smooth Silky Salty,17/8/2023,"$3,276 ",526
Jehu Rudeforth,India ,White Choc,17/8/2023,"$4,766 ",85
Camilla Castle,New Zealand,White Choc,17/8/2023,"$3,562 ",352
Andria Kimpton,USA ,99% Dark & Pure,18/8/2023,"$7,173 ",111
Mallorie Waber,UK ,Caramel Stuffed Bars,18/8/2023,"$2,691 ",251
Wilone O'Kielt,Canada   ,Raspberry Choco,18/8/2023,"$3,913 ",1041
Oby Sorrel,New Zealand ,Milk Bars,18/8/2023,"$7,562 ",738
Andria Kimpton,Canada,Mint Chip Choco,18/8/2023,"$1,436 ",257
Madelene Upcott,India  ,White Choc,18/8/2023,"$9,716 ",76
Roddy Speechley,Canada,50% Dark Bites,18/8/2023,"$3,013 ",140
Gigi Bohling,USA  ,Fruit & Nut Bars,18/8/2023,"$7,857 ",43
Barr Faughny,New Zealand ,Smooth Silky Salty,18/8/2023,"$2,678 ",4
Madelene Upcott,India  ,Baker's Choco Chips,18/8/2023,"$6,863 ",961
Andria Kimpton,USA ,Choco Coated Almonds,18/8/2023,"$4,104 ",51
Dotty Strutley,Canada   ,50% Dark Bites,18/8/2023,"$5,229 ",94
Ches Bonnell,New Zealand ,Fruit & Nut Bars,18/8/2023,"$3,688 ",476
Ches Bonnell,UK ,Mint Chip Choco,18/8/2023,"$2,520 ",189
Brien Boise,Canada,99% Dark & Pure,18/8/2023,"$1,346 ",38
Jan Morforth,Canada ,Orange Choco,18/8/2023,"$1,789 ",815
Wilone O'Kielt,India,70% Dark Bites,18/8/2023,"$3,967 ",2
Rafaelita Blaksland,New Zealand   ,Peanut Butter Cubes,18/8/2023,"$6,188 ",104
Brien Boise,New Zealand  ,Manuka Honey Choco,18/8/2023,"$2,912 ",530
Wilone O'Kielt,Australia   ,Eclairs,18/8/2023,"$4,415 ",435
Oby Sorrel,India  ,Organic Choco Syrup,18/8/2023,"$1,373 ",35
Dotty Strutley,Canada   ,Fruit & Nut Bars,18/8/2023,"$7,405 ",555
Jan Morforth,Canada  ,Organic Choco Syrup,18/8/2023,"$8,163 ",155
Marney O'Breen,New Zealand,Mint Chip Choco,18/8/2023,"$1,229 ",342
Barr Faughny,USA,Caramel Stuffed Bars,18/8/2023,"$5,789 ",198
Gigi Bohling,New Zealand   ,Caramel Stuffed Bars,18/8/2023,$693 ,1065
Marney O'Breen,USA   ,After Nines,21/8/2023,"$9,477 ",182
Oby Sorrel,India,Orange Choco,21/8/2023,"$9,187 ",254
Husein Augar,UK ,Peanut Butter Cubes,21/8/2023,"$5,389 ",1441
Gunar Cockshoot,Australia ,Caramel Stuffed Bars,21/8/2023,"$21,978 ",276
Madelene Upcott,UK,70% Dark Bites,21/8/2023,"$3,332 ",445
Madelene Upcott,USA  ,White Choc,21/8/2023,"$2,680 ",789
Gigi Bohling,USA  ,Manuka Honey Choco,21/8/2023,"$4,820 ",104
Van Tuxwell,New Zealand ,Eclairs,21/8/2023,"$4,370 ",233
Kelci Walkden,Canada   ,Almond Choco,21/8/2023,"$6,660 ",287
Gigi Bohling,India,50% Dark Bites,21/8/2023,"$16,225 ",61
Ches Bonnell,New Zealand ,Caramel Stuffed Bars,21/8/2023,"$6,779 ",751
Kaine Padly,Canada  ,White Choc,21/8/2023,$959 ,798
Ches Bonnell,New Zealand,Drinking Coco,21/8/2023,"$5,614 ",771
Barr Faughny,UK   ,Choco Coated Almonds,21/8/2023,"$17,152 ",219
Kelci Walkden,New Zealand ,Raspberry Choco,21/8/2023,$126 ,1218
Mallorie Waber,USA   ,85% Dark Bars,21/8/2023,"$9,106 ",825
Rafaelita Blaksland,UK  ,White Choc,21/8/2023,"$8,579 ",991
Brien Boise,USA  ,Smooth Silky Salty,21/8/2023,"$8,237 ",152
Dotty Strutley,New Zealand  ,Fruit & Nut Bars,21/8/2023,"$11,383 ",268
Roddy Speechley,New Zealand  ,Peanut Butter Cubes,21/8/2023,"$9,907 ",21
Curtice Advani,New Zealand,Almond Choco,21/8/2023,"$2,750 ",178
Andria Kimpton,India ,Caramel Stuffed Bars,21/8/2023,"$3,035 ",1144
Rafaelita Blaksland,UK  ,Raspberry Choco,22/8/2023,"$1,496 ",211
Dennison Crosswaite,India   ,Almond Choco,22/8/2023,"$2,077 ",171
Curtice Advani,India  ,Drinking Coco,22/8/2023,$423 ,263
Brien Boise,USA   ,Orange Choco,22/8/2023,"$3,566 ",297
Mallorie Waber,USA   ,99% Dark & Pure,22/8/2023,"$8,021 ",362
Dotty Strutley,New Zealand  ,Fruit & Nut Bars,22/8/2023,"$7,421 ",303
Madelene Upcott,Canada,Orange Choco,22/8/2023,"$4,847 ",413
Oby Sorrel,UK   ,Orange Choco,22/8/2023,"$4,658 ",372
Brien Boise,New Zealand ,50% Dark Bites,22/8/2023,"$5,094 ",329
Roddy Speechley,UK ,Drinking Coco,22/8/2023,"$2,849 ",498
Curtice Advani,New Zealand   ,Manuka Honey Choco,22/8/2023,"$1,526 ",259
Kelci Walkden,Canada ,85% Dark Bars,22/8/2023,"$7,211 ",301
Gunar Cockshoot,India  ,Spicy Special Slims,22/8/2023,"$1,667 ",299
Brien Boise,Australia ,Fruit & Nut Bars,22/8/2023,"$8,251 ",158
Mallorie Waber,New Zealand   ,Caramel Stuffed Bars,22/8/2023,"$2,104 ",473
Mallorie Waber,Canada  ,99% Dark & Pure,22/8/2023,"$4,268 ",94
Mallorie Waber,UK,Drinking Coco,22/8/2023,"$5,522 ",1028
Ches Bonnell,USA  ,99% Dark & Pure,22/8/2023,"$9,783 ",307
Beverie Moffet,New Zealand,Eclairs,22/8/2023,"$1,352 ",350
Husein Augar,India,99% Dark & Pure,22/8/2023,"$7,702 ",26
Roddy Speechley,Canada   ,Spicy Special Slims,22/8/2023,"$10,744 ",311
Roddy Speechley,New Zealand,Smooth Silky Salty,22/8/2023,"$6,233 ",6
Madelene Upcott,New Zealand  ,85% Dark Bars,22/8/2023,"$4,471 ",281
Barr Faughny,Australia,Orange Choco,22/8/2023,"$4,979 ",13
Dennison Crosswaite,India   ,Baker's Choco Chips,22/8/2023,"$7,045 ",41
Beverie Moffet,UK  ,Eclairs,22/8/2023,"$7,151 ",163
Dennison Crosswaite,Canada   ,Organic Choco Syrup,22/8/2023,"$6,872 ",207
Van Tuxwell,India ,50% Dark Bites,22/8/2023,"$6,998 ",40
Curtice Advani,Australia  ,50% Dark Bites,22/8/2023,"$1,814 ",135
Dotty Strutley,USA  ,Raspberry Choco,22/8/2023,"$6,653 ",739
Camilla Castle,UK  ,Mint Chip Choco,22/8/2023,"$8,737 ",114
Oby Sorrel,Australia ,Choco Coated Almonds,22/8/2023,"$2,241 ",304
Husein Augar,India   ,50% Dark Bites,23/8/2023,"$1,179 ",466
Curtice Advani,India  ,Spicy Special Slims,23/8/2023,"$5,594 ",17
Oby Sorrel,UK ,White Choc,23/8/2023,"$3,569 ",500
Beverie Moffet,India   ,Organic Choco Syrup,23/8/2023,"$5,497 ",318
Wilone O'Kielt,Canada  ,Organic Choco Syrup,23/8/2023,"$1,865 ",348
Curtice Advani,Australia ,85% Dark Bars,23/8/2023,$194 ,272
Gunar Cockshoot,UK ,Milk Bars,23/8/2023,"$2,862 ",33
Madelene Upcott,USA,Mint Chip Choco,23/8/2023,"$1,015 ",578
Ches Bonnell,Australia   ,Spicy Special Slims,23/8/2023,"$2,169 ",306
Jehu Rudeforth,Australia ,Orange Choco,23/8/2023,"$3,940 ",714
Kelci Walkden,USA,Raspberry Choco,23/8/2023,"$2,133 ",89
Kelci Walkden,Canada ,Fruit & Nut Bars,23/8/2023,"$2,734 ",868
Marney O'Breen,UK   ,Choco Coated Almonds,23/8/2023,$983 ,290
Curtice Advani,New Zealand,Milk Bars,23/8/2023,"$10,906 ",448
Camilla Castle,Canada   ,Manuka Honey Choco,23/8/2023,"$13,226 ",28
Ches Bonnell,Canada,Eclairs,23/8/2023,$272 ,961
Mallorie Waber,New Zealand ,Almond Choco,23/8/2023,"$14,006 ",391
Dotty Strutley,India,Manuka Honey Choco,23/8/2023,"$2,324 ",104
Roddy Speechley,UK   ,Manuka Honey Choco,23/8/2023,"$14,778 ",157
Mallorie Waber,New Zealand   ,Baker's Choco Chips,23/8/2023,"$8,690 ",251
Gunar Cockshoot,New Zealand,99% Dark & Pure,24/8/2023,"$9,475 ",414
Beverie Moffet,New Zealand,After Nines,24/8/2023,"$6,975 ",297
Madelene Upcott,UK,Spicy Special Slims,24/8/2023,"$6,692 ",275
Brien Boise,Canada  ,Baker's Choco Chips,24/8/2023,"$6,892 ",171
Dotty Strutley,Australia ,After Nines,24/8/2023,"$3,080 ",90
Kelci Walkden,India  ,Baker's Choco Chips,24/8/2023,"$2,538 ",180
Kaine Padly,USA ,Peanut Butter Cubes,24/8/2023,"$2,930 ",26
Andria Kimpton,Canada   ,Eclairs,24/8/2023,$576 ,356
Marney O'Breen,New Zealand   ,Choco Coated Almonds,24/8/2023,"$3,292 ",271
Kaine Padly,USA   ,Orange Choco,24/8/2023,"$5,103 ",296
Jehu Rudeforth,New Zealand,Fruit & Nut Bars,24/8/2023,"$5,173 ",485
Dennison Crosswaite,Canada   ,Caramel Stuffed Bars,24/8/2023,"$8,818 ",1066
Curtice Advani,India,Almond Choco,24/8/2023,"$2,828 ",243
Beverie Moffet,USA   ,Fruit & Nut Bars,24/8/2023,"$2,736 ",361
Mallorie Waber,India  ,Choco Coated Almonds,24/8/2023,"$6,329 ",576
Kaine Padly,UK  ,After Nines,25/8/2023,"$2,756 ",461
Camilla Castle,Canada   ,Choco Coated Almonds,25/8/2023,$905 ,627
Roddy Speechley,New Zealand   ,99% Dark & Pure,25/8/2023,"$6,669 ",306
Beverie Moffet,India  ,Smooth Silky Salty,25/8/2023,"$5,279 ",1
Jehu Rudeforth,USA,Spicy Special Slims,25/8/2023,$162 ,68
Brien Boise,Canada ,After Nines,25/8/2023,"$8,186 ",487
Camilla Castle,USA,Almond Choco,25/8/2023,"$10,267 ",606
Beverie Moffet,UK,50% Dark Bites,25/8/2023,"$5,022 ",255
Roddy Speechley,Canada,Caramel Stuffed Bars,25/8/2023,"$3,929 ",469
Mallorie Waber,Canada  ,After Nines,25/8/2023,"$8,411 ",65
Mallorie Waber,Canada ,White Choc,25/8/2023,"$3,085 ",308
Marney O'Breen,Australia  ,White Choc,25/8/2023,"$8,802 ",308
Ches Bonnell,Canada  ,50% Dark Bites,25/8/2023,"$9,619 ",335
Karlen McCaffrey,India   ,Drinking Coco,25/8/2023,"$4,250 ",156
Rafaelita Blaksland,New Zealand  ,99% Dark & Pure,25/8/2023,"$8,987 ",235
Barr Faughny,UK   ,Raspberry Choco,25/8/2023,"$1,208 ",1436
Mallorie Waber,New Zealand ,Mint Chip Choco,25/8/2023,"$13,156 ",230
Andria Kimpton,New Zealand   ,After Nines,25/8/2023,"$4,392 ",200
Andria Kimpton,Canada,50% Dark Bites,25/8/2023,"$5,999 ",208
Mallorie Waber,Canada ,Peanut Butter Cubes,25/8/2023,"$8,370 ",84
Van Tuxwell,UK,White Choc,25/8/2023,"$2,014 ",340
Marney O'Breen,USA,Almond Choco,25/8/2023,"$5,902 ",296
Mallorie Waber,New Zealand  ,After Nines,25/8/2023,"$8,613 ",521
Brien Boise,India,99% Dark & Pure,25/8/2023,"$3,040 ",286
Roddy Speechley,New Zealand  ,Choco Coated Almonds,25/8/2023,"$8,372 ",583
Rafaelita Blaksland,Canada  ,99% Dark & Pure,25/8/2023,"$7,232 ",62
Husein Augar,Australia   ,99% Dark & Pure,28/8/2023,"$2,826 ",452
Mallorie Waber,USA   ,Spicy Special Slims,28/8/2023,"$8,354 ",34
Husein Augar,New Zealand,After Nines,28/8/2023,"$8,251 ",826
Gigi Bohling,New Zealand  ,Almond Choco,28/8/2023,"$2,122 ",126
Jan Morforth,USA   ,Caramel Stuffed Bars,28/8/2023,"$4,194 ",588
Karlen McCaffrey,New Zealand ,50% Dark Bites,28/8/2023,"$4,034 ",325
Jehu Rudeforth,Australia   ,Choco Coated Almonds,28/8/2023,"$6,080 ",109
Barr Faughny,Australia  ,Peanut Butter Cubes,28/8/2023,"$8,190 ",124
Wilone O'Kielt,India   ,Fruit & Nut Bars,28/8/2023,"$3,026 ",472
Oby Sorrel,Australia,Smooth Silky Salty,28/8/2023,"$5,276 ",65
Wilone O'Kielt,New Zealand  ,Fruit & Nut Bars,28/8/2023,"$5,510 ",181
Gunar Cockshoot,Canada,Baker's Choco Chips,28/8/2023,"$9,848 ",256
Husein Augar,USA,Baker's Choco Chips,29/8/2023,"$4,111 ",667
Dotty Strutley,Australia   ,Almond Choco,29/8/2023,"$2,999 ",805
Rafaelita Blaksland,UK,Manuka Honey Choco,29/8/2023,"$5,643 ",129
Roddy Speechley,India ,Smooth Silky Salty,29/8/2023,"$1,789 ",299
Gunar Cockshoot,UK   ,70% Dark Bites,29/8/2023,$729 ,132
Karlen McCaffrey,Australia,Drinking Coco,29/8/2023,"$7,106 ",1050
Dotty Strutley,Canada ,Smooth Silky Salty,29/8/2023,"$6,557 ",18
Andria Kimpton,Australia  ,Baker's Choco Chips,29/8/2023,"$1,892 ",638
Roddy Speechley,USA   ,99% Dark & Pure,29/8/2023,"$2,239 ",208
Marney O'Breen,New Zealand,50% Dark Bites,29/8/2023,$38 ,15
Roddy Speechley,UK   ,After Nines,29/8/2023,"$8,201 ",56
Ches Bonnell,Canada,99% Dark & Pure,29/8/2023,$241 ,613
Dennison Crosswaite,Australia,Smooth Silky Salty,29/8/2023,"$4,064 ",100
Brien Boise,UK ,Milk Bars,29/8/2023,"$3,751 ",534
Jan Morforth,UK,White Choc,29/8/2023,"$8,057 ",548
Brien Boise,Australia ,Organic Choco Syrup,30/8/2023,"$8,084 ",319
Dotty Strutley,Australia ,Peanut Butter Cubes,30/8/2023,"$6,991 ",11
Wilone O'Kielt,Canada   ,Fruit & Nut Bars,30/8/2023,"$9,448 ",542
Andria Kimpton,USA   ,Choco Coated Almonds,30/8/2023,$146 ,359
Dotty Strutley,Australia ,Organic Choco Syrup,30/8/2023,"$5,096 ",195
Karlen McCaffrey,New Zealand   ,Mint Chip Choco,30/8/2023,"$5,326 ",131
Karlen McCaffrey,India  ,Eclairs,30/8/2023,"$1,352 ",92
Madelene Upcott,India   ,Mint Chip Choco,30/8/2023,"$2,873 ",164
Brien Boise,India  ,Baker's Choco Chips,30/8/2023,"$11,943 ",200
Wilone O'Kielt,New Zealand ,Almond Choco,30/8/2023,"$5,038 ",190
Dennison Crosswaite,USA ,Peanut Butter Cubes,30/8/2023,"$9,414 ",778
Gunar Cockshoot,UK ,Choco Coated Almonds,30/8/2023,"$7,826 ",28
Husein Augar,New Zealand,50% Dark Bites,30/8/2023,"$2,563 ",1147
Dennison Crosswaite,UK,Orange Choco,30/8/2023,"$6,332 ",495
Jan Morforth,USA,Raspberry Choco,30/8/2023,"$6,608 ",264
Beverie Moffet,USA   ,Drinking Coco,30/8/2023,"$3,776 ",701
Brien Boise,Canada  ,Eclairs,30/8/2023,"$3,128 ",197
Jan Morforth,USA ,Almond Choco,30/8/2023,"$3,611 ",17
Rafaelita Blaksland,India,Peanut Butter Cubes,30/8/2023,"$9,972 ",140
Ches Bonnell,Canada  ,White Choc,30/8/2023,"$4,869 ",396
Jehu Rudeforth,Canada ,70% Dark Bites,30/8/2023,$758 ,217
Kelci Walkden,UK   ,Eclairs,30/8/2023,"$4,520 ",559
Andria Kimpton,New Zealand   ,85% Dark Bars,30/8/2023,"$7,567 ",13
Gunar Cockshoot,India,Orange Choco,30/8/2023,$821 ,526
Gigi Bohling,UK ,Mint Chip Choco,30/8/2023,"$1,577 ",160
Dennison Crosswaite,USA  ,Manuka Honey Choco,30/8/2023,"$3,746 ",138
Dotty Strutley,USA ,Manuka Honey Choco,30/8/2023,"$2,556 ",386
Wilone O'Kielt,Canada,85% Dark Bars,30/8/2023,"$1,334 ",93
Beverie Moffet,USA   ,Mint Chip Choco,30/8/2023,"$2,430 ",317
Wilone O'Kielt,UK,Baker's Choco Chips,31/8/2023,"$1,728 ",149
Jan Morforth,Australia  ,White Choc,31/8/2023,"$1,220 ",409
Brien Boise,India  ,Organic Choco Syrup,31/8/2023,"$7,490 ",127
Karlen McCaffrey,Australia   ,Milk Bars,31/8/2023,"$5,830 ",90
Husein Augar,Canada,Peanut Butter Cubes,31/8/2023,"$7,081 ",636
Van Tuxwell,UK,Peanut Butter Cubes,31/8/2023,"$6,689 ",298
Dotty Strutley,New Zealand   ,50% Dark Bites,31/8/2023,"$12,920 ",694
Beverie Moffet,UK   ,Manuka Honey Choco,31/8/2023,"$9,677 ",94
Husein Augar,New Zealand,Caramel Stuffed Bars,31/8/2023,"$3,105 ",13
Gigi Bohling,New Zealand ,White Choc,31/8/2023,"$1,222 ",36
Camilla Castle,UK ,Mint Chip Choco,31/8/2023,$531 ,191
Dotty Strutley,New Zealand  ,Almond Choco,31/8/2023,"$1,325 ",322
Madelene Upcott,Australia ,Almond Choco,31/8/2023,"$7,639 ",353
Dennison Crosswaite,New Zealand,Caramel Stuffed Bars,31/8/2023,"$6,246 ",155
Brien Boise,Canada  ,After Nines,1/9/2023,"$6,716 ",691
Rafaelita Blaksland,USA,Organic Choco Syrup,1/9/2023,"$10,109 ",48
Gunar Cockshoot,Canada,Mint Chip Choco,1/9/2023,"$1,289 ",107
Ches Bonnell,Australia ,Eclairs,1/9/2023,"$9,486 ",837
Camilla Castle,UK  ,After Nines,1/9/2023,"$5,830 ",66
Kelci Walkden,India   ,Baker's Choco Chips,1/9/2023,"$7,479 ",913
Dennison Crosswaite,USA ,Almond Choco,1/9/2023,"$2,115 ",146
Jan Morforth,India ,Organic Choco Syrup,1/9/2023,"$4,304 ",345
Marney O'Breen,New Zealand,70% Dark Bites,1/9/2023,"$1,690 ",951
Gunar Cockshoot,Canada  ,Eclairs,1/9/2023,"$7,072 ",1674
Beverie Moffet,UK  ,Choco Coated Almonds,1/9/2023,$844 ,574
Madelene Upcott,New Zealand ,Baker's Choco Chips,1/9/2023,"$4,743 ",150
Madelene Upcott,USA  ,50% Dark Bites,1/9/2023,"$2,187 ",78
Van Tuxwell,USA ,Caramel Stuffed Bars,1/9/2023,"$1,467 ",246
Ches Bonnell,New Zealand ,50% Dark Bites,1/9/2023,"$3,821 ",193
Ches Bonnell,India  ,Almond Choco,1/9/2023,"$8,903 ",120
Gigi Bohling,Australia ,50% Dark Bites,1/9/2023,"$13,826 ",11
Curtice Advani,Australia ,Manuka Honey Choco,1/9/2023,"$14,056 ",232
Wilone O'Kielt,USA,After Nines,1/9/2023,"$6,734 ",396
Rafaelita Blaksland,New Zealand ,Fruit & Nut Bars,1/9/2023,"$9,259 ",3
Curtice Advani,UK   ,Baker's Choco Chips,1/9/2023,"$2,232 ",866
Madelene Upcott,USA ,Organic Choco Syrup,1/9/2023,"$9,257 ",333
Jehu Rudeforth,Australia  ,Organic Choco Syrup,1/9/2023,"$6,698 ",316
Kaine Padly,UK ,70% Dark Bites,1/9/2023,$466 ,503
Jehu Rudeforth,USA,White Choc,1/9/2023,"$4,442 ",129
Mallorie Waber,Australia   ,99% Dark & Pure,1/9/2023,"$8,573 ",99
Gigi Bohling,UK,Smooth Silky Salty,4/9/2023,$502 ,305
Curtice Advani,USA,Peanut Butter Cubes,4/9/2023,"$6,111 ",208
Gigi Bohling,India   ,85% Dark Bars,4/9/2023,"$10,555 ",105
Jehu Rudeforth,India ,Fruit & Nut Bars,4/9/2023,"$6,392 ",1314
Mallorie Waber,Australia ,Caramel Stuffed Bars,4/9/2023,"$2,336 ",783
Dennison Crosswaite,USA ,White Choc,4/9/2023,"$3,690 ",758
Jehu Rudeforth,Australia ,Spicy Special Slims,4/9/2023,"$5,227 ",213
Roddy Speechley,Canada   ,Orange Choco,4/9/2023,$461 ,211
Dennison Crosswaite,UK   ,Peanut Butter Cubes,4/9/2023,"$2,862 ",275
Andria Kimpton,Australia ,Baker's Choco Chips,4/9/2023,"$12,962 ",139
Camilla Castle,Canada ,Baker's Choco Chips,4/9/2023,$383 ,527
Van Tuxwell,USA,Orange Choco,4/9/2023,"$5,999 ",1160
Oby Sorrel,USA ,Caramel Stuffed Bars,4/9/2023,"$4,199 ",1308
Curtice Advani,Australia ,After Nines,4/9/2023,"$5,531 ",92
Wilone O'Kielt,Australia ,Mint Chip Choco,4/9/2023,"$11,860 ",49
Barr Faughny,New Zealand ,Eclairs,4/9/2023,"$2,228 ",514
Beverie Moffet,Australia,Choco Coated Almonds,4/9/2023,"$1,667 ",175
Gunar Cockshoot,Australia  ,Caramel Stuffed Bars,4/9/2023,"$9,200 ",69
Gunar Cockshoot,India  ,Peanut Butter Cubes,4/9/2023,"$7,547 ",79
Barr Faughny,India   ,Organic Choco Syrup,5/9/2023,"$1,382 ",251
Oby Sorrel,New Zealand  ,White Choc,5/9/2023,"$3,537 ",452
Barr Faughny,New Zealand   ,85% Dark Bars,5/9/2023,"$3,017 ",528
Mallorie Waber,New Zealand,Peanut Butter Cubes,5/9/2023,"$12,546 ",223
Andria Kimpton,Canada  ,Organic Choco Syrup,5/9/2023,"$15,113 ",455
Madelene Upcott,USA   ,85% Dark Bars,5/9/2023,"$7,414 ",1
Mallorie Waber,Australia  ,Manuka Honey Choco,5/9/2023,"$5,636 ",144
Mallorie Waber,Canada ,Baker's Choco Chips,5/9/2023,"$2,603 ",498
Beverie Moffet,Canada  ,99% Dark & Pure,5/9/2023,"$6,532 ",474
Ches Bonnell,India   ,70% Dark Bites,5/9/2023,"$3,080 ",159
Jan Morforth,UK,After Nines,5/9/2023,"$14,252 ",774
Dennison Crosswaite,India   ,Smooth Silky Salty,5/9/2023,$943 ,454
Andria Kimpton,UK ,Almond Choco,5/9/2023,"$2,297 ",998
Brien Boise,New Zealand,Choco Coated Almonds,5/9/2023,"$2,808 ",82
Marney O'Breen,Canada ,70% Dark Bites,5/9/2023,"$2,900 ",933
Brien Boise,UK ,Drinking Coco,5/9/2023,"$4,766 ",175
Marney O'Breen,Canada,Mint Chip Choco,5/9/2023,"$2,336 ",324
Camilla Castle,New Zealand,Orange Choco,5/9/2023,"$11,763 ",1433
Ches Bonnell,Australia ,99% Dark & Pure,5/9/2023,"$12,263 ",22
